part_id;weight;anomaly
100101;0.53638869;0
100102;0.533120469;0
100103;0.529678721;0
100104;0.533523375;0
100201;0.530946676;0
100202;0.530971778;0
100203;0.532307988;0
100204;0.531794579;0
100301;0.533063626;0
100302;0.531704059;0
100303;0.530619899;0
100304;0.531809265;0
100401;0.529809604;0
100402;0.528685099;0
100403;0.520474774;0
100404;0.516971292;0
100501;0.518439121;0
100502;0.515247715;0
100503;0.514621875;0
100504;0.513955919;0
100601;0.513964202;0
100602;0.513017134;0
100603;0.50976545;0
100604;0.513801485;0
100701;0.514569301;0
100702;0.513604499;0
100703;0.514093565;0
100704;0.513777498;0
100801;0.515875121;0
100802;0.515764807;0
100803;0.514155047;0
100804;0.509617708;0
100901;0.510158324;0
100902;0.510279399;0
100903;0.516945188;0
100904;0.507502736;0
101001;0.511605109;0
101002;0.51072174;0
101003;0.512117317;0
101004;0.515048386;0
101101;0.513687027;0
101102;0.511031925;0
101103;0.535850852;0
101104;0.532617528;0
101201;0.543332272;0
101202;0.543322411;0
101203;0.54877115;0
101204;0.54101421;0
101301;0.542515293;0
101302;0.540219043;0
101303;0.540925643;0
101304;0.538382333;0
101401;0.541056201;0
101402;0.539142494;0
101403;0.540210093;0
101404;0.537125504;0
101501;0.539323405;0
101502;0.54127317;0
101503;0.53962088;0
101504;0.537711487;0
101601;0.538146084;0
101602;0.536816199;0
101603;0.537518171;0
101604;0.539357009;0
101701;0.53992554;0
101702;0.541981957;0
101703;0.540167334;0
101704;0.540158215;0
101801;0.543088154;0
101802;0.544007045;0
101803;0.534678027;0
101804;0.529595429;0
101901;0.531767094;0
101902;0.530809163;0
101903;0.527979664;0
101904;0.529795423;0
102001;0.529239503;0
102002;0.528748334;0
102003;0.528991763;0
102004;0.529401335;0
102101;0.529417404;0
102102;0.532152555;0
102103;0.529386142;0
102104;0.526166841;0
102201;0.526938164;0
102202;0.530455384;0
102203;0.525753436;0
102204;0.529601096;0
102301;0.528702034;0
102302;0.526959399;0
102303;0.526384352;0
102304;0.525082484;0
102401;0.525088787;0
102402;0.526090464;0
102403;0.527664639;0
102404;0.528329089;0
102501;0.527273828;0
102502;0.526454294;0
102503;0.524920887;0
102504;0.526339552;0
102601;0.525843635;0
102602;0.527126831;0
102603;0.527281388;0
102604;0.524385534;0
102701;0.525176331;0
102702;0.523784202;0
102703;0.525492918;0
102704;0.525502896;0
102801;0.526277524;0
102802;0.525257498;0
102803;0.525516718;0
102804;0.52643554;0
102901;0.529701419;0
102902;0.524850809;0
102903;0.5265912;0
102904;0.525943262;0
103001;0.524174425;0
103002;0.527202773;0
103003;0.525393951;0
103004;0.524754606;0
103101;0.521954675;0
103102;0.521908164;0
103103;0.523395738;0
103104;0.523415887;0
103201;0.522891683;0
103202;0.520990757;0
103203;0.522319328;0
103204;0.522811149;0
103301;0.521904382;0
103302;0.523800698;0
103303;0.537602397;0
103502;0.528823687;0
103503;0.532255308;0
103504;0.530674095;0
103601;0.529891325;0
103604;0.524391971;0
103604;0.524468068;0
103701;0.520956757;0
103702;0.516659433;0
103703;0.516034788;0
103704;0.518737862;0
103801;0.518938956;0
103802;0.517717091;0
103803;0.520116816;0
103804;0.562750523;0
103901;0.559620335;0
103902;0.57112405;0
103903;0.559422161;0
103904;0.559215882;0
104001;0.559541863;0
104002;0.561040232;0
104003;0.559658481;0
104004;0.560620994;0
104101;0.559680498;0
104102;0.55870674;0
104103;0.559874808;0
104104;0.557468223;0
104201;0.556933413;0
104202;0.559205441;0
104203;0.558162655;0
104204;0.5555298;0
104301;0.555748621;0
104302;0.554526371;0
104303;0.55659363;0
104304;0.555224559;0
104401;0.555790153;0
104402;0.552692089;0
104403;0.552546746;0
104404;0.553583271;0
104501;0.551937938;0
104502;0.554912181;0
104503;0.55283016;0
104504;0.552833776;0
104601;0.553324112;0
104602;0.55242717;0
104603;0.552311472;0
104604;0.552180883;0
104701;0.552402166;0
104702;0.554362011;0
104703;0.552591086;0
104704;0.552362332;0
104801;0.554119583;0
104802;0.552544116;0
104803;0.552723566;0
104804;0.55181262;0
104901;0.551565976;0
104902;0.553321094;0
104903;0.551702893;0
104904;0.55284998;0
105001;0.552939317;0
105002;0.553359917;0
105003;0.554215058;0
105004;0.554254716;0
105101;0.553595615;0
105102;0.554817546;0
105103;0.555099747;0
105104;0.554712282;0
105201;0.553707784;0
105202;0.554875668;0
105203;0.553733714;0
105204;0.553960778;0
105301;0.552282449;0
105302;0.553286898;0
105303;0.553213133;0
105304;0.551660609;0
105401;0.551195518;0
105402;0.551632685;0
105403;0.550884444;0
105404;0.548929566;0
105501;0.550873462;0
105502;0.550131336;0
105503;0.548497805;0
105504;0.54889624;0
105601;0.549029296;0
105602;0.548926783;0
105603;0.549326301;0
105604;0.550646785;0
105701;0.549828642;0
105702;0.549131631;0
105703;0.548612374;0
105704;0.548246155;0
105801;0.548725185;0
105802;0.547976942;0
105803;0.547780243;0
105804;0.547359402;0
105901;0.547150934;0
105902;0.547440836;0
105903;0.547006718;0
105904;0.547085827;0
106001;0.548146274;0
106002;0.54890376;0
106003;0.548721549;0
106004;0.548015077;0
106101;0.550333679;0
106102;0.550146139;0
106103;0.549067217;0
106104;0.549703661;0
106201;0.549115646;0
106202;0.549053351;0
106203;0.549082532;0
106204;0.549284928;0
106301;0.549688089;0
106302;0.549858586;0
106303;0.549212906;0
106304;0.550729928;0
106401;0.548088915;0
106402;0.550063044;0
106403;0.549240202;0
106404;0.54486857;0
106501;0.549077849;0
106502;0.548330632;0
106503;0.547742282;0
106504;0.549322749;0
106601;0.548899538;0
106602;0.548452135;0
106603;0.549658966;0
106604;0.551765686;0
106701;0.548575446;0
106702;0.548063678;0
106703;0.548392305;0
106704;0.548921612;0
106801;0.549604377;0
106802;0.548384771;0
106803;0.547749276;0
106804;0.549238466;0
106901;0.549210087;0
106902;0.548849185;0
106903;0.549278578;0
106904;0.548170552;0
107001;0.548660067;0
107002;0.54824371;0
107003;0.547930941;0
107004;0.548314314;0
107101;0.548409355;0
107102;0.547394184;0
107103;0.548972721;0
107104;0.551295872;0
107201;0.551723063;0
107202;0.552084464;0
107203;0.551881477;0
107204;0.551779065;0
107301;0.551922936;0
107302;0.552529887;0
107303;0.553325883;0
107304;0.552850306;0
107401;0.593016991;0
